"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ChildReport","ChildReport","","","",0,*,"","","","null {[]} {[]}
","Child Report Logical Model","A logical model representing child report data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ChildReport.subject","ChildReport.subject","","","",1,1,"","","","https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/BeModelPatient {[]} {[]}
","Child that the report is about","Patient/subject information","","","","","","","","","",,,,,"",,,,"BeDocument.subject",1,1,"",""
"ChildReport.identifier","ChildReport.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Business identifier for the document","Business identifier for the document","","","","","","","","","",,,,,"",,,,"BeDocument.identifier",1,*,"",""
"ChildReport.author[x]","ChildReport.author[x]","","","",1,1,"","","","Practitioner {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner]]} {[]}
Organization {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization]]} {[]}","Author","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"BeDocument.author[x]",1,1,"",""
"ChildReport.lastUpdate","ChildReport.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource","Date and time of the last update to the document/information","The date of the child report is the date when the report was created, not the date of the examination or observation. In case of reports migrated from KMEHR, the date is the date of the conversion, not the KMEHR message creation, which is unknown.","","","","","","","","",,,,,"",,,,"BeDocument.lastUpdate",0,1,"",""
"ChildReport.status","ChildReport.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource","Status of the resource","","","","","","","","","",,,,,"",,,,"BeDocument.status",1,1,"",""
"ChildReport.presentedForm","ChildReport.presentedForm","","","",1,1,"","","","Attachment {[]} {[]}
","Child report PDF file","A base64 encoded PDF file with the remaining child report information (biometric data, charts, etc.).","","","","","","","","","",,,,,"",,,,"BeDocument.presentedForm",0,*,"",""
"ChildReport.documentTitle","ChildReport.documentTitle","","","",1,1,"","","","string {[]} {[]}
","Document title","Document title","","","","","","","","","",,,,,"",,,,"BeDocument.documentTitle",1,1,"",""
"ChildReport.relatedPerson","ChildReport.relatedPerson","","","",1,1,"","","","https://www.ehealth.fgov.be/standards/fhir/childrecord/StructureDefinition/BeModelRelatedPerson {[]} {[]}
","Mother of the child that the report is about","The mother of the child is the related subject in this report.","","","","","","","","","",,,,,"",,,,"ChildReport.relatedPerson",1,1,"",""
"ChildReport.relatedPerson.subject","ChildReport.relatedPerson.subject","","","",1,1,"","","","https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/BeModelPatient {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"BeModelRelatedPerson.subject",1,1,"",""
"ChildReport.relatedPerson.relatedperson","ChildReport.relatedPerson.relatedperson","","","",1,1,"","","","https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/BeModelPatient {[]} {[]}
","Related person","A person related to the patient/subject, such as a family member or guardian.","","","","","","","","","",,,,,"",,,,"BeModelRelatedPerson.relatedperson",1,1,"",""
"ChildReport.relatedPerson.relationship","ChildReport.relatedPerson.relationship","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Relationship to subject","The relationship of the related person to the patient/subject. This can include roles such as mother, father, guardian, etc.","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <code value=""mother""/>
    <display value=""Role of the related subject""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"BeModelRelatedPerson.relationship",1,1,"",""
"ChildReport.pregnancyDetails","ChildReport.pregnancyDetails","","","",0,1,"","","","Base {[]} {[]}
","Pregnancy details","Details about the pregnancy.","","","","","","","","","",,,,,"",,,,"ChildReport.pregnancyDetails",0,1,"",""
"ChildReport.pregnancyDetails.durationOfPregnancy","ChildReport.pregnancyDetails.durationOfPregnancy","","","",0,1,"","","","Base {[]} {[]}
","[BeObservation] The duration of pregnancy in weeks, as an observation.","[BeObservation] The duration of pregnancy in weeks, as an observation.","","","","","","","","","",,,,,"",,,,"ChildReport.pregnancyDetails.durationOfPregnancy",0,1,"",""
"ChildReport.pregnancyDetails.durationOfPregnancy.subject","ChildReport.pregnancyDetails.durationOfPregnancy.subject","","","",1,1,"","","","Reference {[]} {[]}
","Mother","subject","","","","","","","","","",,,,,"",,,,"ChildReport.pregnancyDetails.durationOfPregnancy.subject",1,1,"",""
"ChildReport.pregnancyDetails.durationOfPregnancy.code","ChildReport.pregnancyDetails.durationOfPregnancy.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Length of gestation at birth","Length of gestation at birth","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://snomed.info/sct""/>
    <code value=""412726003""/>
    <display value=""Length of gestation at birth""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"ChildReport.pregnancyDetails.durationOfPregnancy.code",1,1,"",""
"ChildReport.pregnancyDetails.durationOfPregnancy.valueInteger","ChildReport.pregnancyDetails.durationOfPregnancy.valueInteger","","","",1,1,"","","","integer {[]} {[]}
","The duration of pregnancy in weeks","The duration of pregnancy in weeks","","","","","","","","","",,,,,"",,,,"ChildReport.pregnancyDetails.durationOfPregnancy.valueInteger",1,1,"",""
"ChildReport.pregnancyDetails.pregnancyCMVInfection","ChildReport.pregnancyDetails.pregnancyCMVInfection","","","",0,1,"","","","Base {[]} {[]}
","[BeObservation] Pregnancy CMV infection","Indicates whether CMV infection occurred during pregnancy.","","","","","","","","","",,,,,"",,,,"ChildReport.pregnancyDetails.pregnancyCMVInfection",0,1,"",""
"ChildReport.pregnancyDetails.pregnancyCMVInfection.subject","ChildReport.pregnancyDetails.pregnancyCMVInfection.subject","","","",1,1,"","","","Reference {[]} {[]}
","Mother","subject","","","","","","","","","",,,,,"",,,,"ChildReport.pregnancyDetails.pregnancyCMVInfection.subject",1,1,"",""
"ChildReport.pregnancyDetails.pregnancyCMVInfection.code","ChildReport.pregnancyDetails.pregnancyCMVInfection.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","CMV infection during pregnancy","CMV infection during pregnancy","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <code value=""cmv-infection-during-pregnancy""/>
    <display value=""CMV infection during pregnancy""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"ChildReport.pregnancyDetails.pregnancyCMVInfection.code",1,1,"",""
"ChildReport.pregnancyDetails.pregnancyCMVInfection.valueBoolean","ChildReport.pregnancyDetails.pregnancyCMVInfection.valueBoolean","","","",1,1,"","","","boolean {[]} {[]}
","Indicates whether CMV infection occurred during pregnancy.","The value indicates whether the mother had a CMV infection during pregnancy.","","","","","","","","","",,,,,"",,,,"ChildReport.pregnancyDetails.pregnancyCMVInfection.valueBoolean",1,1,"",""
"ChildReport.pregnancyDetails.bacterialMeningitis","ChildReport.pregnancyDetails.bacterialMeningitis","","","",0,1,"","","","Base {[]} {[]}
","[BeObservation] Bacterial meningitis","Indicates whether bacterial meningitis occurred during pregnancy.","","","","","","","","","",,,,,"",,,,"ChildReport.pregnancyDetails.bacterialMeningitis",0,1,"",""
"ChildReport.pregnancyDetails.bacterialMeningitis.code","ChildReport.pregnancyDetails.bacterialMeningitis.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code","Code","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <code value=""bacterial-meningitis-during-pregnancy""/>
    <display value=""bacterial meningitis during pregnancy""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"ChildReport.pregnancyDetails.bacterialMeningitis.code",1,1,"",""
"ChildReport.pregnancyDetails.bacterialMeningitis.subject","ChildReport.pregnancyDetails.bacterialMeningitis.subject","","","",1,1,"","","","Reference {[]} {[]}
","Mother","The mother of the child is the related subject in this report.","","","","","","","","","",,,,,"",,,,"ChildReport.pregnancyDetails.bacterialMeningitis.subject",1,1,"",""
"ChildReport.pregnancyDetails.bacterialMeningitis.valueBoolean","ChildReport.pregnancyDetails.bacterialMeningitis.valueBoolean","","","",1,1,"","","","boolean {[]} {[]}
","Indicates whether bacterial meningitis occurred during pregnancy.","The value indicates whether the mother had a bacterial meningitis during pregnancy.","","","","","","","","","",,,,,"",,,,"ChildReport.pregnancyDetails.bacterialMeningitis.valueBoolean",1,1,"",""
"ChildReport.neonatalHearingScreening","ChildReport.neonatalHearingScreening","","","",0,*,"","","","Base {[]} {[]}
","[BeObservation] Neonatal hearing screening","Details about the neonatal hearing screening.","","","","","","","","","",,,,,"",,,,"ChildReport.neonatalHearingScreening",0,*,"",""
"ChildReport.neonatalHearingScreening.code","ChildReport.neonatalHearingScreening.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code","Code","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <code value=""neonatal-hearing-screening""/>
    <display value=""Neonatal hearing screening""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"ChildReport.neonatalHearingScreening.code",1,1,"",""
"ChildReport.neonatalHearingScreening.date","ChildReport.neonatalHearingScreening.date","","","",1,1,"","","","date {[]} {[]}
","Date of neonatal hearing screening","The date of neonatal hearing screening.","","","","","","","","","",,,,,"",,,,"ChildReport.neonatalHearingScreening.date",1,1,"",""
"ChildReport.neonatalHearingScreening.subject","ChildReport.neonatalHearingScreening.subject","","","",1,1,"","","","https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/BeModelPatient {[]} {[]}
","Child that the report is about","The child that the report is about.","","","","","","","","","",,,,,"",,,,"ChildReport.neonatalHearingScreening.subject",1,1,"",""
"ChildReport.neonatalHearingScreening.componentLeft","ChildReport.neonatalHearingScreening.componentLeft","","","",0,1,"","","","Base {[]} {[]}
","Left ear result","Result of neonatal hearing screening for the left ear.","","","","","","","","","",,,,,"",,,,"ChildReport.neonatalHearingScreening.componentLeft",0,1,"",""
"ChildReport.neonatalHearingScreening.componentLeft.code","ChildReport.neonatalHearingScreening.componentLeft.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Result of neonatal hearing screening - left","Result of neonatal hearing screening - left","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <code value=""neonatal-hearing-screening-left""/>
    <display value=""Result of neonatal hearing screening (left ear)""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"ChildReport.neonatalHearingScreening.componentLeft.code",1,1,"",""
"ChildReport.neonatalHearingScreening.componentLeft.valueCode","ChildReport.neonatalHearingScreening.componentLeft.valueCode","","","",1,1,"","","","code {[]} {[]}
","Result of neonatal hearing screening (left ear)","Neonatal hearing screening result for the left ear.","","","","","","","","","",,"required","","http://example.org/fhir/ValueSet/neonatal-hearing-screening-results","",,,,"ChildReport.neonatalHearingScreening.componentLeft.valueCode",1,1,"",""
"ChildReport.neonatalHearingScreening.componentRight","ChildReport.neonatalHearingScreening.componentRight","","","",0,1,"","","","Base {[]} {[]}
","Right ear result","Result of neonatal hearing screening for the right ear.","","","","","","","","","",,,,,"",,,,"ChildReport.neonatalHearingScreening.componentRight",0,1,"",""
"ChildReport.neonatalHearingScreening.componentRight.code","ChildReport.neonatalHearingScreening.componentRight.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Result of neonatal hearing screening - right","Result of neonatal hearing screening - right","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <code value=""neonatal-hearing-screening-right""/>
    <display value=""Result of neonatal hearing screening (right ear)""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"ChildReport.neonatalHearingScreening.componentRight.code",1,1,"",""
"ChildReport.neonatalHearingScreening.componentRight.valueCode","ChildReport.neonatalHearingScreening.componentRight.valueCode","","","",1,1,"","","","code {[]} {[]}
","Result of neonatal hearing screening (right ear)","Neonatal hearing screening result for the right ear.","","","","","","","","","",,"required","","http://example.org/fhir/ValueSet/neonatal-hearing-screening-results","",,,,"ChildReport.neonatalHearingScreening.componentRight.valueCode",1,1,"",""
"ChildReport.refusalOfHearingTest","ChildReport.refusalOfHearingTest","","","",0,1,"","","","https://www.ehealth.fgov.be/standards/fhir/patientwill/StructureDefinition/BeModelPatientWill {[]} {[]}
","[BeObservation] Refusal by the parents of a hearing test for the child","Indicates whether the hearing test was refused.","","","","","","","","","",,,,,"",,,,"ChildReport.refusalOfHearingTest",0,1,"",""
"ChildReport.refusalOfHearingTest.recordedDate","ChildReport.refusalOfHearingTest.recordedDate","","","",1,1,"","","","dateTime {[]} {[]}
","Date of encoding of the information","Date of encoding of the information","","","","","","","","","",,,,,"",,,,"BeModelPatientWill.recordedDate",1,1,"",""
"ChildReport.refusalOfHearingTest.identifier","ChildReport.refusalOfHearingTest.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Unique identifier","Unique identifier","","","","","","","","","",,,,,"",,,,"BeModelPatientWill.identifier",0,1,"",""
"ChildReport.refusalOfHearingTest.patient","ChildReport.refusalOfHearingTest.patient","","","",1,1,"","","","Identifier {[]} {[]}
","Is the patient's unique identifier. The unique identifier must be the patient's national patient registry number (NISS) or BIS number.","Is the patient's unique identifier. The unique identifier must be the patient's national patient registry number (NISS) or BIS number.","","","","","","","","","",,,,,"",,,,"BeModelPatientWill.patient",1,1,"",""
"ChildReport.refusalOfHearingTest.recorder","ChildReport.refusalOfHearingTest.recorder","","","",1,1,"","","","Identifier {[]} {[]}
","Is the unique identifier of either the healthcare professional responsible for the encrypted content, or the patient encoding his or her own wishes, or a representative of the patient encoding the patient's wishes. The unique identifier must be the National Register Number (NISS) or BIS number.","Is the unique identifier of either the healthcare professional responsible for the encrypted content, or the patient encoding his or her own wishes, or a representative of the patient encoding the patient's wishes. The unique identifier must be the National Register Number (NISS) or BIS number.","","","","","","","","","",,,,,"",,,,"BeModelPatientWill.recorder",1,1,"",""
"ChildReport.refusalOfHearingTest.representative","ChildReport.refusalOfHearingTest.representative","","","",0,*,"","","","BackboneElement {[]} {[]}
","The representative is the person who acts on behalf of the applicant (patient) when he is no longer able to express his wishes. For example: the confidant is the person who guides the patient through his steps and assists him during medical appointments. He guarantees the follow-up of the wishes of the patient when he can no longer express his wishes clearly.","The representative is the person who acts on behalf of the applicant (patient) when he is no longer able to express his wishes. For example: the confidant is the person who guides the patient through his steps and assists him during medical appointments. He guarantees the follow-up of the wishes of the patient when he can no longer express his wishes clearly.","","","","","","","","","",,,,,"",,,,"BeModelPatientWill.representative",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ChildReport.refusalOfHearingTest.representative.id","ChildReport.refusalOfHearingTest.representative.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
