"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelChildReport","BeModelChildReport","","","",0,*,"","","","null {[]} {[]}
","Child Report model","A logical model representing child report data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelChildReport.identifier","BeModelChildReport.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Document identifier","Document identifier","","","","","","","","","",,,,,"",,,,"BeModelDocument.identifier",0,*,"",""
"BeModelChildReport.type","BeModelChildReport.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Document type","Document type","","","","","","","","","",,,,,"",,,,"BeModelDocument.type",1,1,"",""
"BeModelChildReport.dateTime","BeModelChildReport.dateTime","","","",1,1,"","","","dateTime {[]} {[]}
","Document date/time","Document date/time","The date of the child report is the date when the report was created, not the date of the examination or observation. In case of reports migrated from KMEHR, the date is the date of the conversion, not the KMEHR message creation, which is unknown.","","","","","","","","",,,,,"",,,,"BeModelDocument.dateTime",1,1,"",""
"BeModelChildReport.title","BeModelChildReport.title","","","",0,1,"","","","string {[]} {[]}
","Title","Title","","","","","","","","","",,,,,"",,,,"BeModelDocument.title",0,1,"",""
"BeModelChildReport.status","BeModelChildReport.status","","","",0,1,"","","","code {[]} {[]}
","Status","Status","","","","","","","","","",,,,,"",,,,"BeModelDocument.status",0,1,"",""
"BeModelChildReport.language","BeModelChildReport.language","","","",0,1,"","","","code {[]} {[]}
","Language","Language","","","","","","","","","",,,,,"",,,,"BeModelDocument.language",0,1,"",""
"BeModelChildReport.subject","BeModelChildReport.subject","","","",1,1,"","","","Reference {[]} {[]}
","Child that the report is about","Subject","","","","","","","","","",,,,,"",,,,"BeModelDocument.subject",0,1,"",""
"BeModelChildReport.author","BeModelChildReport.author","","","",0,*,"","","","Reference {[]} {[]}
","Author(s)","Author(s)","","","","","","","","","",,,,,"",,,,"BeModelDocument.author",0,*,"",""
"BeModelChildReport.section","BeModelChildReport.section","","","",0,*,"","","","BackboneElement {[]} {[]}
","Document content sections","Document content sections","","","","","","","","","",,,,,"",,,,"BeModelDocument.section",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelChildReport.section.id","BeModelChildReport.section.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BeModelChildReport.section.extension","BeModelChildReport.section.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelChildReport.section.modifierExtension","BeModelChildReport.section.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelChildReport.section.code","BeModelChildReport.section.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Section classification","Section classification","","","","","","","","","",,,,,"",,,,"BeModelDocument.section.code",0,1,"",""
"BeModelChildReport.section.entry","BeModelChildReport.section.entry","","","",0,*,"","","","Reference {[]} {[]}
","Referenced resources","FHIR references to CareSets, e.g. CarePlan/1, Observation/2","","","","","","","","","",,,,,"",,,,"BeModelDocument.section.entry",0,*,"",""
