"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelChildReport","BeModelChildReport","","","",0,*,"","","","null {[]} {[]}
","Child Report Logical Model","A logical model representing child report data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelChildReport.subject","BeModelChildReport.subject","","","",1,1,"","","","https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/BeModelPatient {[]} {[]}
","Child that the report is about","Patient/subject information","","","","","","","","","",,,,,"",,,,"BeModelDocument.subject",1,1,"",""
"BeModelChildReport.documentType","BeModelChildReport.documentType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Document type","Type of the document, e.g. report, discharge letter, etc.","","","","","","","","","",,,,,"",,,,"BeModelDocument.documentType",1,1,"",""
"BeModelChildReport.status","BeModelChildReport.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource","Status of the resource","","","","","","","","","",,,,,"",,,,"BeModelDocument.status",1,1,"",""
"BeModelChildReport.identifier","BeModelChildReport.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Business identifier for the document","Business identifier for the document","","","","","","","","","",,,,,"",,,,"BeModelDocument.identifier",1,*,"",""
"BeModelChildReport.recordedDate","BeModelChildReport.recordedDate","","","",1,1,"","","","dateTime {[]} {[]}
","The date when the document was last updated","The date when the document was last updated","The date of the child report is the date when the report was created, not the date of the examination or observation. In case of reports migrated from KMEHR, the date is the date of the conversion, not the KMEHR message creation, which is unknown.","","","","","","","","",,,,,"",,,,"BeModelDocument.recordedDate",1,1,"",""
"BeModelChildReport.author[x]","BeModelChildReport.author[x]","","","",1,1,"","","","Practitioner {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner]]} {[]}
Organization {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization]]} {[]}","Author","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"BeModelDocument.author[x]",1,1,"",""
"BeModelChildReport.presentedForm","BeModelChildReport.presentedForm","","","",1,1,"","","","Attachment {[]} {[]}
","Child report PDF file","A base64 encoded PDF file with the remaining child report information (biometric data, charts, etc.).","","","","","","","","","",,,,,"",,,,"BeModelDocument.presentedForm",0,*,"",""
"BeModelChildReport.documentTitle","BeModelChildReport.documentTitle","","","",1,1,"","","","string {[]} {[]}
","Document title","Document title","","","","","","","","","",,,,,"",,,,"BeModelDocument.documentTitle",1,1,"",""
"BeModelChildReport.section","BeModelChildReport.section","","","",0,1,"","","","* {[]} {[]}
","Sections","Sections","","","","","","","","","",,,,,"",,,,"BeModelDocument.section",0,1,"",""
"BeModelChildReport.section.subsection","BeModelChildReport.section.subsection","","","",0,*,"","","","","subsection","subsection","","","","","","","","","",,,,,"",,,,"BeModelDocument.section.subsection",0,*,"",""
"BeModelChildReport.relatedPerson","BeModelChildReport.relatedPerson","","","",0,1,"","","","https://www.ehealth.fgov.be/standards/fhir/childrecord/StructureDefinition/BeModelRelatedPerson {[]} {[]}
","Biological mother of the child that the report is about","The biological mother of the child is the related subject in this report.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.relatedPerson",0,1,"",""
