"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelDocument","BeModelDocument","","","",0,*,"","","","null {[]} {[]}
","Document model","Base model for documents.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelDocument.subject","BeModelDocument.subject","","","",1,1,"","","","https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/BeModelPatient {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"BeModelDocument.subject",1,1,"",""
"BeModelDocument.documentType","BeModelDocument.documentType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Document type","Type of the document, e.g. report, discharge letter, etc.","","","","","","","","","",,,,,"",,,,"BeModelDocument.documentType",1,1,"",""
"BeModelDocument.status","BeModelDocument.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource","Status of the resource","","","","","","","","","",,,,,"",,,,"BeModelDocument.status",1,1,"",""
"BeModelDocument.identifier","BeModelDocument.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Business identifier for the document","Business identifier for the document","","","","","","","","","",,,,,"",,,,"BeModelDocument.identifier",1,*,"",""
"BeModelDocument.recordedDate","BeModelDocument.recordedDate","","","",1,1,"","","","dateTime {[]} {[]}
","The date when the document was last updated","The date when the document was last updated","","","","","","","","","",,,,,"",,,,"BeModelDocument.recordedDate",1,1,"",""
"BeModelDocument.author[x]","BeModelDocument.author[x]","","","",1,1,"","","","Practitioner {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner]]} {[]}
Organization {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization]]} {[]}","Author","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"BeModelDocument.author[x]",1,1,"",""
"BeModelDocument.presentedForm","BeModelDocument.presentedForm","","","",0,*,"","","","Attachment {[]} {[]}
","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","","","","","","","","","",,,,,"",,,,"BeModelDocument.presentedForm",0,*,"",""
"BeModelDocument.documentTitle","BeModelDocument.documentTitle","","","",1,1,"","","","string {[]} {[]}
","Document title","Document title","","","","","","","","","",,,,,"",,,,"BeModelDocument.documentTitle",1,1,"",""
"BeModelDocument.section","BeModelDocument.section","","","",0,1,"","","","* {[]} {[]}
","Sections","Sections","","","","","","","","","",,,,,"",,,,"BeModelDocument.section",0,1,"",""
"BeModelDocument.section.subsection","BeModelDocument.section.subsection","","","",0,*,"","","","","subsection","subsection","","","","","","","","","",,,,,"",,,,"BeModelDocument.section.subsection",0,*,"",""
