Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.childrecord.json	8442	-	0	0	0	0	0	0	11	87	0	0	0	0	0	0	0	0	0	0	0	125	122	0	0	0	6	0	0
fsh-generated/resources/CodeSystem-CSEyeMovementAndPosition.json	609	4	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	31	634	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSEyeScreeningResults.json	748	3	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	31	152	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSNeonatalHearingScreeningResults.json	651	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	23	118	0	1	0	0	0	0
fsh-generated/resources/CodeSystem-CSOphthalmologistTreatments.json	615	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	28	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeBacterialMeningitis.json	942	3	0	137	0	0	0	0	0	89	0	0	1	0	1	0	0	2	0	0	0	243	3271	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-BeChildRecordComposition.json	14976	5	0	204	0	0	0	0	1	95	0	0	0	0	0	0	0	2	0	0	0	678	2078	0	0	0	31	0	2
fsh-generated/resources/StructureDefinition-BeEyeScreening.json	1145	3	0	65	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	167	1028	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-BeModelChildReport.json	30443	11	0	179	0	0	0	0	0	82	0	0	0	0	0	0	0	1	0	0	0	511	1256	0	0	0	16	0	0
fsh-generated/resources/StructureDefinition-BeModelDocument.json	4764	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	66	226	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-BeModelRelatedPerson.json	2264	3	0	42	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	49	159	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeNeonatalHearingScreening.json	1578	3	0	61	1	0	0	0	0	18	0	0	1	0	0	0	0	1	0	0	0	166	685	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-BeNeonatalHearingScreeningLeft.json	2066	2	0	61	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	191	679	0	0	0	7	1	1
fsh-generated/resources/StructureDefinition-BeNeonatalHearingScreeningRight.json	2073	3	0	58	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	0	171	644	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-BeObservation.json	540	3	0	1	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	150	496	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-BePregnancyCMVInfection.json	958	3	0	19	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	169	366	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-BePregnancyDuration.json	1358	3	0	28	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	187	1160	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-BeSevereHeadTrauma.json	947	2	0	29	0	0	0	0	0	41	0	0	0	0	0	0	0	1	0	0	0	160	383	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-ChildReport.json	6581	4	0	335	0	0	0	0	0	91	0	0	1	0	0	0	0	3	0	0	0	1074	1441	0	0	0	36	0	4
fsh-generated/resources/StructureDefinition-EyeResultsEyeMovementAndPosition.json	1298	3	0	22	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	156	467	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EyeResultsEyeRemarks.json	1070	2	0	22	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	157	398	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EyeResultsInspectionPupilAbnormal.json	1107	3	0	22	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	0	155	390	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-InTreatmentWithOphthalmologist.json	1172	2	0	22	1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	156	346	0	0	0	10	1	1
fsh-generated/resources/ValueSet-VSEyeMovementAndPosition.json	566	3	0	0	0	0	0	0	1	87	0	0	0	0	0	0	0	0	0	0	0	19	110	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSNeonatalHearingScreeningResults.json	598	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	19	95	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSOphthalmologistTreatments.json	564	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	18	84	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eye-screening-results.json	526	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	41	86	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1915	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1043	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/data/features.yml	5	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/background.xml	271	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-ChildReport-notes.md	55	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/index.md	3304	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
